Designator,Footprint,Quantity,Value,LCSC Part #,
"C1, C2, C4, C5",402,4,1u,C52923,
"C10, C15, C3, C6, C7, C8, C9",402,7,100n,C1525,
"C12, C13",402,2,22p,C1562,
C14,402,1,10u,C15525,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D6, D7, D8, D9",D_SOD-123,53,D_Small,C81598,
F1,1206,1,Fuse_Small,C883133,
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,C165948,
LED1,LED_6028R,1,SK6812MINI-E,C5149201,
"R1, R2, R3, R4, R6",402,5,5.1k,C25905,
"R5, R9",402,2,1k,C11702,
"R7, R8",402,2,27,C25092,
"SWR1, SWR2",SW_SPST_TL3342,2,SW_SPST,C318884,
U1,SOT-23,1,XC6206PxxxMR,C5446,
U2,SOT-23-6-routable,1,SRV05-4,C85364,
U3,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,C97521,
U4,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040TR7,C2040,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24_Small,C9002,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,s
